Username,Attempt_number,Sequence,Seq_length,Time_to_complete,PatternLength,Avg_speed,Highest_pressure,Lowest_pressure,HandNum,FingerNum
username,1,1-2-3-5,4,809326172,772.26843,9.542116E-7,1.0,1.0,2,1
username,2,1-2-3-4,4,682678222,964.9114,1.4134205E-6,1.0,1.0,2,1
username,3,1-2-3-6,4,686614990,757.0681,1.1026094E-6,1.0,1.0,2,1
username,4,1-2-3-7,4,1086242676,1121.1814,1.0321647E-6,1.0,1.0,2,1
username,5,1-2-3-8,4,674499512,996.0897,1.4767835E-6,1.0,1.0,2,1
username,6,1-2-3-9,4,661834717,927.36536,1.4012039E-6,1.0,1.0,2,1
username,7,1-2-3-10,4,727874756,1260.5356,1.731803E-6,1.0,1.0,2,1
username,8,1-2-3-11,4,764556884,1193.9822,1.5616656E-6,1.0,1.0,2,1
username,9,1-2-3-4,4,573333740,1079.3464,1.8825796E-6,1.0,1.0,2,1
username,10,1-2-3-5,4,543090820,765.92664,1.4103105E-6,1.0,1.0,2,1
username,11,1-2-3-6,4,521240235,745.9343,1.4310759E-6,1.0,1.0,2,1
